date,open,high,close,low,volume,amount,factor
2015-12-04,83.498,84.591,83.789,82.395,3532366.0,294400576.0,1.002
2015-12-07,84.821,85.703,83.247,82.305,2623963.0,218734594.0,1.002
2015-12-08,82.375,82.375,80.02,79.829,2959394.0,238627040.0,1.002
2015-12-09,79.579,83.197,81.333,77.995,3384444.0,271689983.0,1.002
2015-12-10,81.523,81.784,78.947,78.476,2561401.0,204440544.0,1.002
2015-12-11,78.406,78.977,77.003,76.983,2214919.0,171487232.0,1.002
2015-12-14,75.329,78.165,77.574,74.677,2126736.0,161011328.0,1.002
2015-12-15,77.744,79.789,78.075,77.183,1968193.0,154382576.0,1.002
2015-12-16,78.867,79.869,79.068,78.085,2043587.0,161166640.0,1.002
2015-12-17,79.378,82.385,81.453,79.378,2705180.0,218991536.0,1.002
2015-12-18,81.393,81.393,78.687,78.185,2809165.0,222706528.0,1.002
2015-12-21,79.057,79.057,78.636,76.171,1773642.0,138137248.0,1.002
2015-12-22,79.388,80.982,80.11,78.185,2193488.0,174054231.0,1.002
2015-12-23,80.15,80.17,77.895,77.684,1880475.0,147503504.0,1.002
2015-12-24,76.862,82.185,81.172,76.842,3311772.0,264377152.0,1.002
2015-12-25,81.192,81.573,81.072,79.739,2134732.0,171711517.0,1.002
2015-12-28,81.393,82.075,79.899,79.729,2398062.0,194064678.0,1.002
2015-12-29,79.649,79.929,78.506,77.183,1832291.0,143003759.0,1.002
2015-12-30,78.195,79.899,78.426,78.035,1551902.0,121669765.0,1.002
2015-12-31,78.586,78.987,75.73,75.309,1641998.0,127045019.0,1.002
2016-01-04,75.73,76.782,68.162,68.162,1915347.0,134960933.0,1.002
2016-01-05,63.45,67.159,63.781,61.355,2708710.0,172464173.0,1.002
2016-01-06,65.104,65.856,65.796,63.16,2300409.0,148202525.0,1.002
2016-01-07,64.814,64.854,59.22,59.22,608949.0,36951481.0,1.002
2016-01-08,61.145,61.145,59.2,54.128,2621468.0,153214912.0,1.002
2016-01-11,56.323,64.753,59.581,56.143,3442850.0,210366619.0,1.002
2016-01-12,61.045,61.145,58.258,56.163,2109646.0,123340462.0,1.002
2016-01-13,58.138,59.14,53.206,53.126,2175909.0,122063448.0,1.002
2016-01-14,50.41,54.63,54.078,48.695,3238941.0,167477131.0,1.002
2016-01-15,52.625,53.627,49.568,49.116,2410794.0,123832676.0,1.002
2016-01-18,46.711,50.56,49.357,46.711,2698443.0,132192173.0,1.002
2016-01-19,49.718,52.124,51.632,49.708,2963155.0,150285086.0,1.002
2016-01-20,51.221,51.673,50.319,49.618,2492855.0,126053663.0,1.002
2016-01-21,48.415,51.873,49.387,48.415,2425483.0,121530174.0,1.002
2016-01-22,50.379,50.62,50.049,48.615,1893936.0,94155957.0,1.002
2016-01-25,50.68,50.921,50.349,49.818,1875685.0,94272876.0,1.002
2016-01-26,49.618,49.618,45.317,45.317,2815853.0,132535561.0,1.002
2016-01-27,44.987,45.337,42.842,40.797,2866317.0,121471137.0,1.002
2016-01-28,41.899,43.253,39.484,39.403,2054544.0,85438572.0,1.002
2016-01-29,39.925,43.433,43.433,39.574,2664034.0,110961489.0,1.002
2016-02-01,43.433,44.375,43.232,41.599,2714111.0,117657408.0,1.002
2016-02-02,43.553,45.488,44.475,42.882,3049228.0,135693595.0,1.002
2016-02-03,43.784,45.007,44.746,42.35,2439151.0,105719216.0,1.002
2016-02-04,44.876,47.653,46.4,44.786,3181337.0,146025162.0,1.002
2016-02-05,45.919,46.4,44.566,44.505,2095626.0,94872837.0,1.002
2016-02-15,42.701,44.405,43.874,42.511,1432753.0,61961935.0,1.002
2016-02-16,44.255,48.264,48.264,44.104,3339722.0,156950666.0,1.002
2016-02-17,49.116,50.109,48.856,46.991,4791559.0,231856362.0,1.002
2016-02-18,48.806,49.678,48.375,47.964,3802455.0,184483914.0,1.002
2016-02-19,47.964,49.407,48.996,47.954,2864351.0,139200069.0,1.002
2016-02-22,49.898,52.424,51.191,49.217,3764792.0,189842187.0,1.002
2016-02-23,50.71,51.071,49.397,48.816,3083720.0,153208324.0,1.002
2016-02-24,49.116,49.908,49.577,47.833,2282748.0,111256516.0,1.002
2016-02-25,49.126,49.497,44.616,44.616,2855311.0,133589730.0,1.002
2016-02-26,44.606,45.307,42.842,42.11,2375923.0,103533989.0,1.002
2016-02-29,42.842,42.852,38.561,38.561,2562910.0,100965283.0,1.002
2016-03-01,38.521,41.077,40.727,37.79,2283910.0,90050399.0,1.002
2016-03-02,40.596,43.714,43.012,40.346,2857842.0,120278402.0,1.002
2016-03-03,42.892,44.105,42.521,42.431,3038036.0,130736772.0,1.002
2016-03-04,42.25,42.751,39.855,39.504,2495429.0,101711948.0,1.002
2016-03-07,40.205,42.09,41.258,40.195,1908268.0,78882770.0,1.002
2016-03-08,40.596,41.799,41.458,38.742,2102255.0,84310232.0,1.002
2016-03-09,40.145,41.097,40.356,39.093,1513420.0,61037520.0,1.002
2016-03-10,40.296,41.258,39.614,39.413,1511071.0,60790756.0,1.002
2016-03-11,39.243,40.997,40.446,38.742,1761350.0,70235753.0,1.002
2016-03-14,41.158,42.852,42.19,40.767,2747191.0,115722529.0,1.002
2016-03-15,41.769,42.38,41.248,41.168,1741379.0,72376158.0,1.002
2016-03-16,41.358,42.01,40.406,39.905,1640678.0,67071107.0,1.002
2016-03-17,40.446,42.2,42.03,40.446,2737276.0,113647900.0,1.002
2016-03-18,42.18,46.23,46.23,42.18,4168199.0,184132602.0,1.002
2016-03-21,48.605,48.605,47.443,46.230,5512168.000,260611784.000,1.002
2016-03-22,47.042,48.906,48.004,46.390,4411258.000,210283249.000,1.002
2016-03-23,47.312,51.272,49.578,47.102,4677921.000,229393667.000,1.002
2016-03-24,48.615,50.079,47.723,47.663,4124949.000,200214060.000,1.002
2016-03-25,47.212,48.315,47.763,46.871,2307511.000,109766631.000,1.002
2016-03-28,48.014,49.608,47.773,47.182,3149582.000,152585617.000,1.002
2016-03-29,47.763,48.094,46.540,46.220,2239645.000,105032539.000,1.002
2016-03-30,47.302,49.006,48.956,47.011,3157938.000,151585640.000,1.002
2016-03-31,49.136,51.713,50.219,49.136,4694715.000,236660753.000,1.002
2016-04-01,50.099,53.717,53.537,49.517,5448416.000,278526927.000,1.002
2016-04-05,54.018,57.105,55.632,53.427,5339680.000,295189206.000,1.002
2016-04-06,54.830,55.281,54.118,53.547,4217818.000,228863005.000,1.002
2016-04-07,54.249,55.070,52.214,52.023,3395206.000,181408049.000,1.002
2016-04-08,51.131,52.424,52.294,50.800,2717565.000,139599114.000,1.002
2016-04-11,53.006,54.830,53.848,52.605,2864455.000,154343871.000,1.002
2016-04-12,54.128,55.782,55.552,53.677,3558492.000,194143964.000,1.002
2016-04-13,55.592,56.624,55.582,54.329,4178106.000,231453785.000,1.002
2016-04-14,56.003,56.143,55.953,54.840,2771546.000,153224116.000,1.002
2016-04-15,55.983,61.396,59.792,55.983,5113960.000,297351385.000,1.002
2016-04-18,58.639,61.446,58.038,57.717,5694796.000,337229366.000,1.002
2016-04-19,55.181,56.113,54.008,53.537,6171498.000,337382619.000,1.002
2016-04-20,53.607,54.620,50.009,48.615,5109844.000,262448124.000,1.002
2016-04-21,49.116,49.888,47.783,47.422,3402471.000,165793296.000,1.002
2016-04-22,46.951,49.116,49.016,46.931,2396069.000,114843327.000,1.002
2016-04-25,48.114,48.615,48.134,46.711,1996209.000,95207823.000,1.002
2016-04-26,48.164,49.407,49.046,47.693,2121754.000,102525329.000,1.002
2016-04-27,49.397,49.918,49.187,48.705,2259519.000,111069675.000,1.002
2016-04-28,49.257,49.608,49.157,47.583,2279087.000,110766073.000,1.002
2016-04-29,49.116,49.597,48.886,48.114,1366144.000,66952141.000,1.002
2016-05-03,48.545,51.081,50.820,48.435,2518059.000,125672089.000,1.002
2016-05-04,50.800,51.001,50.199,50.079,2378852.000,119598056.000,1.002
2016-05-05,50.209,50.369,50.109,49.437,1907781.000,94940645.000,1.002
2016-05-06,50.500,50.500,46.801,46.721,3338042.000,162069763.000,1.002
2016-05-09,46.109,46.109,43.393,43.112,2535726.000,111981935.000,1.002
2016-05-10,43.393,44.105,43.704,43.343,1462411.000,63918455.000,1.002
2016-05-11,44.044,44.576,43.062,42.902,1593694.000,69230617.000,1.002
2016-05-12,42.601,42.661,42.411,41.107,1506417.000,63161165.000,1.002
2016-05-13,42.380,43.232,42.781,42.090,1066282.000,45389026.000,1.002
2016-05-16,42.501,43.553,43.523,42.300,1213129.000,52057949.000,1.002
2016-05-17,43.523,44.365,43.934,43.102,1716215.000,75056725.000,1.002
2016-05-18,43.603,43.603,41.759,41.208,1394008.000,58820637.000,1.002
2016-05-19,42.020,42.922,42.110,41.699,1355239.000,57406869.000,1.002
2016-05-20,42.100,42.902,42.792,41.298,1394546.000,58674747.000,1.002
2016-05-23,43.072,44.586,44.014,42.992,1778402.000,77917573.000,1.002
2016-05-24,44.054,44.455,44.365,43.092,1765657.000,77173597.000,1.002
2016-05-25,44.818,44.818,43.774,43.429,1694546.000,73740163.000,1.014
